longi,lat,polyid,fireid,jd,lct,genLC,pcttree,pctherb,pctbare,area,bmass,CO,NOx,NO,NO2,NH3,SO2,NMOC,PM25,PM10,OC,BC
-111.8452682495,31.0202312469,1,3,151,10,1,2.2631578445,52.3421058655,45.8684196472,591860.875,0.2236849964,8340.5947265625,516.3225708008,285.9632568359,426.2970581055,74.1386260986,119.1513519287,3733.4091796875,949.2391967773,953.2108154297,344.2150268555,48.9844474792
-111.8539505005,31.0094223022,2,3,151,7,2,3.289473772,45.8947372437,51.3684196472,529388.0625,0.2014782131,7146.23046875,388.7762756348,82.128326416,275.1831970215,127.9921951294,72.5289077759,2645.1721191406,757.287109375,1215.92578125,394.6426086426,139.7247924805
-111.8328094482,31.0123252869,3,3,151,7,2,1.1428571939,43.8285713196,55.5428581238,484974.625,0.1842209697,5985.9467773438,325.6534118652,68.7937164307,230.5036468506,107.2109985352,60.7528991699,2215.6938476563,634.3316650391,1018.5044555664,330.5672607422,117.0386657715
-111.8432312012,31.0106678009,4,3,151,10,1,1.9189189672,51.9189186096,46.7297286987,582496.25,0.2205412984,8093.2622070313,501.011505127,277.4833068848,413.6556396484,71.9401092529,115.6180343628,3622.6984863281,921.0903930664,924.9442749023,334.0076599121,47.5318565369
-111.8556900024,31.0185756683,5,3,151,7,2,2.871794939,41.3076934814,56.3846168518,475778.1875,0.1809768528,5769.0239257813,313.8521118164,66.3007278442,222.1504669189,103.3258132935,58.5512886047,2135.3999023438,611.3442993164,981.5951538086,318.5879211426,112.7973251343
-111.8345489502,31.021478653,6,3,151,7,2,1.2820513248,45.6923065186,53.4871788025,506268.625,0.1924257725,6527.0815429688,355.0927124023,75.0127334595,251.3413391113,116.902961731,66.245010376,2415.9943847656,691.6758422852,1110.5780029297,360.4507751465,127.6190567017
-110.9552001953,33.8732948303,7,4,151,10,1,26.1794872284,60.4615402222,14.1282052994,915252.1875,1.1887148619,68542.3515625,4243.0981445313,2350.0234375,3503.2756347656,609.2653808594,979.1764526367,30680.86328125,7800.7729492188,7833.4116210938,2828.7316894531,402.5503540039
-110.9534912109,33.8640899658,8,4,151,1,6,30.9736843109,63.6052627563,5.8684210777,1026842.1875,4.4397244453,510596.40625,8935.4365234375,4330.9516601563,10667.818359375,5333.9091796875,5014.7861328125,224753.578125,81604.2421875,83883.6875,34647.61328125,2552.9819335938
-110.9661178589,33.8720817566,9,4,151,6,2,35.1578941345,59,6.2894735336,1009830.9375,1.1442067623,77415.515625,4211.634765625,889.7006225586,2981.0747070313,1386.5465087891,785.7097167969,28655.29296875,8203.7333984375,13172.19140625,4275.1850585938,1513.646484375
-110.9429397583,33.8656387329,10,4,151,9,1,36.1538467407,55.6153831482,8.9230766296,984957.5,2.599088192,161279.453125,9983.9658203125,5529.5815429688,8243.1728515625,1433.5950927734,2303.9921875,72191.7578125,18355.138671875,18431.9375,6655.9775390625,947.1968383789
-110.9645385742,33.8629150391,11,4,151,8,2,34.6410255432,60.2051277161,5.7435898781,1013184.625,2.8535416126,193708.015625,10538.294921875,2226.1965332031,7459.2041015625,3469.3974609375,1965.9918212891,71700.8828125,20527.265625,32959.2734375,10697.30859375,3787.4252929688
-110.9145889282,33.8054885864,12,9,151,9,1,23,62.6285705566,14.9714288712,910508.0625,2.4251723289,139112.75,8611.7421875,4769.5805664063,7110.2075195313,1236.5578613281,1987.3249511719,62269.51953125,15832.357421875,15898.599609375,5741.1616210938,817.0114135742
-110.8942947388,33.8171005249,13,9,151,9,1,22.2619056702,63.6190490723,14.7142858505,943006.6875,2.4323203564,144502.734375,8945.408203125,4954.3798828125,7385.6958007813,1284.4688720703,2064.3249511719,64682.18359375,16445.7890625,16514.599609375,5963.6049804688,848.6668701172
-110.916305542,33.8144874573,14,9,151,9,1,17.3589744568,65.05128479,18.102563858,888574,2.3340234756,130659.0078125,8088.4155273438,4479.7373046875,6678.126953125,1161.4133300781,1866.5572509766,58485.46484375,14870.240234375,14932.4580078125,5392.2763671875,767.3624267578
-110.9034042358,33.8342819214,15,9,151,9,1,30.5952377319,56.5714302063,13.452381134,1073863.75,2.4687342644,167018.296875,10339.228515625,5726.341796875,8536.4912109375,1484.6071777344,2385.9758300781,74760.578125,19008.2734375,19087.806640625,6892.8188476563,980.901184082
-110.9075469971,33.8250999451,16,9,151,9,1,28.2439022064,58.2926826477,14.2926826477,963509.375,2.4508891106,148771.640625,9209.673828125,5100.7426757813,7603.8837890625,1322.4146728516,2125.3093261719,66593.0234375,16931.630859375,17002.474609375,6139.7817382813,873.7381591797
-110.8956222534,33.8270606995,17,9,151,9,1,24.1818180084,61.2954559326,15.1363639832,1061071.875,2.4208874702,161830.34375,10018.0693359375,5548.4692382813,8271.3291015625,1438.4919433594,2311.8620605469,72438.34375,18417.833984375,18494.896484375,6678.7124023438,950.4321899414
-110.9052047729,33.8155136108,18,9,151,9,1,15.7435894012,63.5128211975,21.2564105988,867020.25,2.2447001934,122610.6328125,7590.1821289063,4203.7934570313,6266.7661132813,1089.8721923828,1751.5803222656,54882.85546875,13954.2578125,14012.642578125,5060.12109375,720.0941772461
-111.3980026245,34.4751777649,19,28,151,8,2,49.2307701111,43.9487190247,7.2820510864,1003041.0625,3.3560087681,225536.390625,12269.8515625,2591.9853515625,8684.8330078125,4039.4577636719,2289.0258789063,83482.1171875,23900.123046875,38374.84765625,12454.994140625,4409.7412109375
-111.4324111938,34.4801063538,20,28,151,8,2,40.7750015259,51.5499992371,8.1750001907,996982.5,3.1984894276,213652.140625,11623.3154296875,2455.4052734375,8227.201171875,3826.60546875,2168.4099121094,79083.1875,22640.748046875,36352.75390625,11798.701171875,4177.3774414063
-111.4213409424,34.4813995361,21,28,151,8,2,43.6153831482,49.4871788025,7.5641026497,990641.375,3.2581543922,216253.390625,11764.830078125,2485.3000488281,8327.369140625,3873.1955566406,2194.810546875,80046.03125,22916.404296875,36795.3515625,11942.3515625,4228.2373046875
-111.4089126587,34.47397995,22,28,151,8,2,45.9024391174,46.5365867615,7.9512195587,1060823.875,3.2852776051,233501.765625,12703.193359375,2683.5278320313,8991.5595703125,4182.1215820313,2369.8686523438,86430.5078125,24744.216796875,39730.1484375,12894.8740234375,4565.4819335938
-111.3907089233,34.4947128296,23,28,151,8,2,44.1463432312,48.7317085266,7.8048782349,986253.25,3.2630465031,215618.75,11730.302734375,2478.0065917969,8302.9306640625,3861.8286132813,2188.369140625,79811.109375,22849.150390625,36687.3671875,11907.3037109375,4215.8291015625
-111.3871917725,34.4767951965,24,28,151,8,2,46.3499984741,45.625,8.5249996185,993202.0625,3.2852113247,218612.875,11893.193359375,2512.4165039063,8418.2265625,3915.4545898438,2218.7575683594,80919.3828125,23166.4375,37196.81640625,12072.6513671875,4274.37109375
-111.3887023926,34.48595047,25,28,151,8,2,44.3846168518,48.4871788025,7.6923074722,997525.5,3.2669131756,218341.546875,11878.4326171875,2509.2985839844,8407.779296875,3910.5949707031,2216.00390625,80818.9609375,23137.6875,37150.65234375,12057.6689453125,4269.0659179688
